RUN	nature.GatlingNature	gatlingnature	1587296122173	 	3.3.1
USER	Testing Nature Caculating	3	START	1587296125477	1587296125477
USER	Testing Nature Caculating	4	START	1587296125478	1587296125478
USER	Testing Nature Caculating	1	START	1587296125476	1587296125476
USER	Testing Nature Caculating	7	START	1587296125481	1587296125481
USER	Testing Nature Caculating	5	START	1587296125478	1587296125478
USER	Testing Nature Caculating	10	START	1587296125485	1587296125485
USER	Testing Nature Caculating	9	START	1587296125486	1587296125486
USER	Testing Nature Caculating	8	START	1587296125482	1587296125482
USER	Testing Nature Caculating	2	START	1587296125477	1587296125477
USER	Testing Nature Caculating	6	START	1587296125480	1587296125480
REQUEST	7		nature_login	1587296125579	1587296128001	OK	 
REQUEST	4		nature_login	1587296125576	1587296128001	OK	 
REQUEST	8		nature_login	1587296125581	1587296128077	OK	 
REQUEST	1		nature_login	1587296125578	1587296128133	OK	 
REQUEST	10		nature_login	1587296125569	1587296128150	OK	 
REQUEST	5		nature_login	1587296125568	1587296128150	OK	 
REQUEST	3		nature_login	1587296125565	1587296128181	OK	 
REQUEST	6		nature_login	1587296125583	1587296128181	OK	 
REQUEST	2		nature_login	1587296125582	1587296128184	OK	 
REQUEST	9		nature_login	1587296125581	1587296128204	OK	 
REQUEST	4		nature_request	1587296128060	1587296134046	OK	 
USER	Testing Nature Caculating	4	END	1587296125478	1587296134054
REQUEST	8		nature_request	1587296128078	1587296134341	OK	 
USER	Testing Nature Caculating	8	END	1587296125482	1587296134342
REQUEST	7		nature_request	1587296128060	1587296134391	OK	 
USER	Testing Nature Caculating	7	END	1587296125481	1587296134392
REQUEST	9		nature_request	1587296128205	1587296134441	OK	 
USER	Testing Nature Caculating	9	END	1587296125486	1587296134442
REQUEST	2		nature_request	1587296128185	1587296134498	OK	 
USER	Testing Nature Caculating	2	END	1587296125477	1587296134499
REQUEST	5		nature_request	1587296128151	1587296134821	OK	 
USER	Testing Nature Caculating	5	END	1587296125478	1587296134823
REQUEST	10		nature_request	1587296128151	1587296134831	OK	 
USER	Testing Nature Caculating	10	END	1587296125485	1587296134832
REQUEST	6		nature_request	1587296128183	1587296134875	OK	 
USER	Testing Nature Caculating	6	END	1587296125480	1587296134876
REQUEST	3		nature_request	1587296128183	1587296134909	OK	 
USER	Testing Nature Caculating	3	END	1587296125477	1587296134911
REQUEST	1		nature_request	1587296128134	1587296134987	OK	 
USER	Testing Nature Caculating	1	END	1587296125476	1587296134988
