RUN	nature.GatlingNature	gatlingnature	1587293766231	 	3.3.1
USER	Testing Nature Caculating	1	START	1587293769479	1587293769479
USER	Testing Nature Caculating	4	START	1587293769480	1587293769480
USER	Testing Nature Caculating	2	START	1587293769480	1587293769480
USER	Testing Nature Caculating	7	START	1587293769481	1587293769481
USER	Testing Nature Caculating	8	START	1587293769483	1587293769483
USER	Testing Nature Caculating	3	START	1587293769480	1587293769480
USER	Testing Nature Caculating	6	START	1587293769480	1587293769480
USER	Testing Nature Caculating	9	START	1587293769483	1587293769483
USER	Testing Nature Caculating	10	START	1587293769484	1587293769484
USER	Testing Nature Caculating	5	START	1587293769480	1587293769480
REQUEST	4		nature_login	1587293769561	1587293772250	OK	 
REQUEST	6		nature_login	1587293769565	1587293772256	OK	 
REQUEST	8		nature_login	1587293769565	1587293772261	OK	 
REQUEST	2		nature_login	1587293769565	1587293772417	OK	 
REQUEST	3		nature_login	1587293769564	1587293772422	OK	 
REQUEST	5		nature_login	1587293769578	1587293772423	OK	 
REQUEST	10		nature_login	1587293769563	1587293772451	OK	 
REQUEST	9		nature_login	1587293769564	1587293772454	OK	 
REQUEST	7		nature_login	1587293769567	1587293772520	OK	 
REQUEST	1		nature_login	1587293769560	1587293772521	OK	 
REQUEST	9		nature_request	1587293772456	1587293777941	OK	 
USER	Testing Nature Caculating	9	END	1587293769483	1587293777951
REQUEST	10		nature_request	1587293772453	1587293778075	OK	 
USER	Testing Nature Caculating	10	END	1587293769484	1587293778076
REQUEST	1		nature_request	1587293772523	1587293778794	OK	 
USER	Testing Nature Caculating	1	END	1587293769479	1587293778795
REQUEST	7		nature_request	1587293772522	1587293779030	OK	 
USER	Testing Nature Caculating	7	END	1587293769481	1587293779031
REQUEST	8		nature_request	1587293772325	1587293779314	OK	 
USER	Testing Nature Caculating	8	END	1587293769483	1587293779315
REQUEST	4		nature_request	1587293772325	1587293779320	OK	 
USER	Testing Nature Caculating	4	END	1587293769480	1587293779321
REQUEST	6		nature_request	1587293772325	1587293779497	OK	 
USER	Testing Nature Caculating	6	END	1587293769480	1587293779498
REQUEST	5		nature_request	1587293772424	1587293779699	OK	 
USER	Testing Nature Caculating	5	END	1587293769480	1587293779699
REQUEST	2		nature_request	1587293772419	1587293779780	OK	 
USER	Testing Nature Caculating	2	END	1587293769480	1587293779781
REQUEST	3		nature_request	1587293772424	1587293779818	OK	 
USER	Testing Nature Caculating	3	END	1587293769480	1587293779819
