RUN	nature.GatlingNature	gatlingnature	1587296643368	 	3.3.1
USER	Testing Nature Caculating	7	START	1587296646632	1587296646632
USER	Testing Nature Caculating	5	START	1587296646630	1587296646630
USER	Testing Nature Caculating	10	START	1587296646643	1587296646643
USER	Testing Nature Caculating	9	START	1587296646643	1587296646643
USER	Testing Nature Caculating	4	START	1587296646628	1587296646628
USER	Testing Nature Caculating	3	START	1587296646628	1587296646628
USER	Testing Nature Caculating	2	START	1587296646627	1587296646627
USER	Testing Nature Caculating	8	START	1587296646635	1587296646635
USER	Testing Nature Caculating	1	START	1587296646627	1587296646627
USER	Testing Nature Caculating	6	START	1587296646632	1587296646632
REQUEST	7		nature_login	1587296646765	1587296647866	OK	 
REQUEST	3		nature_login	1587296646774	1587296647897	OK	 
REQUEST	1		nature_login	1587296646775	1587296647865	OK	 
REQUEST	10		nature_login	1587296646771	1587296647868	OK	 
REQUEST	8		nature_login	1587296646774	1587296647842	OK	 
REQUEST	9		nature_login	1587296646772	1587296647924	OK	 
REQUEST	5		nature_login	1587296646769	1587296647928	OK	 
REQUEST	4		nature_login	1587296646773	1587296647931	OK	 
REQUEST	10		nature_request	1587296647913	1587296647966	OK	 
USER	Testing Nature Caculating	10	END	1587296646643	1587296647975
REQUEST	7		nature_request	1587296647914	1587296647981	OK	 
USER	Testing Nature Caculating	7	END	1587296646632	1587296647982
REQUEST	5		nature_request	1587296647930	1587296648008	OK	 
USER	Testing Nature Caculating	5	END	1587296646630	1587296648009
REQUEST	8		nature_request	1587296647917	1587296648017	OK	 
USER	Testing Nature Caculating	8	END	1587296646635	1587296648018
REQUEST	3		nature_request	1587296647913	1587296648039	OK	 
USER	Testing Nature Caculating	3	END	1587296646628	1587296648040
REQUEST	4		nature_request	1587296647933	1587296648074	OK	 
USER	Testing Nature Caculating	4	END	1587296646628	1587296648075
REQUEST	9		nature_request	1587296647926	1587296648101	OK	 
USER	Testing Nature Caculating	9	END	1587296646643	1587296648101
REQUEST	1		nature_request	1587296647913	1587296648123	OK	 
USER	Testing Nature Caculating	1	END	1587296646627	1587296648124
REQUEST	6		nature_login	1587296646775	1587296649580	OK	 
REQUEST	2		nature_login	1587296646774	1587296649581	OK	 
REQUEST	6		nature_request	1587296649582	1587296654581	OK	 
USER	Testing Nature Caculating	6	END	1587296646632	1587296654583
REQUEST	2		nature_request	1587296649583	1587296654776	OK	 
USER	Testing Nature Caculating	2	END	1587296646627	1587296654777
